WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
CLK2	470	700	821	1736	481	534	433	548	399	422	570	308	341	771	688	706	778	926	1040	872	1016	1054	382	550	1003	387	477
CNOT6	729	1551	1405	1979	912	728	665	815	532	598	778	518	428	1024	857	1188	1293	1283	1811	1523	1748	1840	562	705	807	354	564
CNOT6L	554	1457	1165	1480	748	670	599	773	405	545	744	448	430	1099	1053	1239	1343	1434	1200	3046	2304	1499	620	738	979	507	690
CNRIP1	25	408	358	980	174	158	154	120	86	131	137	95	87	451	451	384	420	367	341	325	487	553	15	17	308	407	449
CNTFR	7	99	72	283	17	10	2	9	2	12	10	4	16	27	7	17	19	140	673	214	184	108	5	5	1	1	1
CNTN3	7	45	13	302	24	9	5	10	2	9	17	5	5	19	19	33	36	7	5	9	9	114	0	0	169	117	337
CNTNAP1	171	642	640	836	247	270	200	323	238	352	392	167	193	537	433	589	763	1139	589	322	337	608	424	455	315	1212	370
CNTRL	577	1449	1354	3513	837	563	505	666	373	367	596	484	451	602	545	637	808	1292	2197	1734	3138	2313	231	263	623	167	395
COBLL1	104	325	634	793	168	178	149	166	103	171	239	163	129	396	300	534	239	269	1340	263	498	316	569	692	318	2379	234
COL11A2	75	511	767	1422	2056	2029	1522	8084	5587	4596	5507	2062	2734	562	290	396	722	1433	3762	1511	792	4563	1472	1661	154	63	29
COL13A1	43	839	496	771	54	78	65	63	116	115	59	44	21	139	215	239	186	688	738	377	211	202	7	1	30	399	193
COL15A1	7	10	0	2	42	26	12	37	49	25	332	222	299	20580	20931	22223	13276	6275	353	848	164	505	211	137	5724	8172	2634
COL20A1	6	1840	616	223	16	16	5	5	5	2	81	14	22	12	4	4	56	47	1300	2767	6519	3012	0	0	6	0	3
COL22A1	2	0	3	1	219	93	87	76	19	29	49	24	37	191	357	163	960	319	1	936	6594	1136	106	125	177	90	320
COL23A1	222	915	1020	792	9	5	13	5	4	4	6	1	3	9	8	5	12	351	163	26	29	33	13	29	17	0	1
COL25A1	258	6441	3885	5302	1477	1040	912	543	317	380	263	149	198	790	514	695	3578	3436	1210	3715	1326	5772	17	25	26	4	19
COL6A1	2316	4683	3439	6469	2689	3014	1868	3987	3487	3446	12035	5219	3818	65473	70433	56746	48154	59133	10514	14674	6476	14516	379	489	70925	41079	85587
COL6A2	1454	5156	3735	5148	4441	4233	3057	5830	5462	5071	16093	6849	5240	86819	88049	72686	64976	56869	16379	17158	6379	20378	148	328	67922	38097	84976
COLEC12	84	2120	2229	1314	370	246	140	116	83	69	43	25	14	1213	1250	1299	592	6421	3657	253	97	256	0	0	943	2	707
COLGALT2	133	376	631	931	109	131	170	59	30	65	14	6	21	225	129	150	109	389	415	161	174	131	22	32	33	166	43
CORO7	338	1194	1014	1482	649	464	353	476	337	295	478	214	249	287	272	326	578	566	818	1202	1290	753	467	589	525	131	236
COTL1	982	1881	1766	2460	3692	2884	2160	2126	1574	1917	2130	1064	997	2296	2414	3257	3162	2629	3576	2466	3361	2605	1507	3210	3460	2595	3171
CPB2-AS1	0	35	165	183	3	8	8	4	4	7	7	3	6	2	3	1	9	5	37	11	27	27	2	3	65	0	3
CPED1	15	410	513	1540	92	48	115	47	46	73	47	14	33	597	634	776	708	2635	3822	1088	955	2142	21	9	269	1612	301
CPXM1	412	2044	1947	6847	1604	1146	985	1021	648	587	1097	565	611	958	818	974	2510	3834	3605	2077	2671	3573	11	41	218	3	14
CRABP2	607	2232	4141	5436	106	70	67	70	55	52	41	33	23	972	1590	1379	2147	1397	1906	2478	1992	2516	1	3	2412	162	944
CREG1	484	2228	1323	2478	428	429	381	331	307	360	348	236	184	856	1052	1486	812	414	331	822	764	331	271	154	1949	1051	423
CRISPLD2	161	123	51	110	426	137	115	348	193	239	1326	711	761	1478	2235	1688	779	1006	499	113	73	157	570	1654	4875	143	3146
CRMP1	1794	4114	4263	5977	2769	2167	1362	1852	1217	1439	2013	1037	1237	410	328	366	912	890	2188	847	1577	2478	65	379	723	101	128
CRNDE	17	62	105	168	28	31	24	42	24	16	28	10	17	171	134	106	87	155	139	114	73	41	4	8	119	194	300
CSK	361	1150	906	1434	550	527	275	558	388	461	615	259	352	859	656	839	943	1139	902	735	853	869	207	422	782	459	556
CSRNP3	320	1747	1659	2888	386	291	325	296	168	191	237	170	148	208	132	154	225	1163	2085	2072	3087	1242	34	77	91	32	12
CT75	0	13	26	53	0	2	1	1	1	2	5	0	1	2	1	2	0	8	7	96	21	1	7	4	20	0	1
CTDSP2	1589	2379	2029	3869	2323	2249	1818	2821	1995	2188	2597	1447	1442	5818	5006	5450	6349	6270	5292	4087	3745	5605	1741	1471	1947	2333	2869
CTNNA1	6665	6785	5838	10504	11426	9023	7617	9891	7543	8375	17419	10533	12846	15223	14633	19634	16530	17236	15396	12523	14229	14340	34553	42849	40397	13967	9085
CTNNB1	8687	14536	12494	22133	21136	19434	14219	14271	10787	11609	14780	8970	9258	26096	22095	24999	27774	29893	30859	25948	33327	31636	6685	9607	47855	9063	9044
CTNNBIP1	540	1121	939	1755	595	549	510	438	337	311	475	239	258	572	443	543	1265	1131	1105	968	978	1269	249	227	384	299	304
CUEDC2	335	1310	1031	1649	606	512	282	474	359	426	547	285	379	749	638	722	771	677	975	620	932	808	1159	1704	992	452	415
CXCL11	90	301	350	551	130	89	98	54	48	34	72	35	63	33	17	23	1	86	349	7	6	0	0	0	4	1	0
CXXC4	24	220	315	544	61	92	73	65	29	47	28	17	15	28	28	36	157	120	262	327	265	542	0	0	1	2	2
CYB5B	1373	2350	2039	4331	1223	1272	982	1067	804	950	1075	744	599	1526	1412	1956	1696	1586	1460	2074	2009	1360	1143	1416	1975	1700	1412
CYFIP2	1182	2216	1984	3051	1078	1050	622	626	466	550	795	456	542	231	226	305	330	347	1334	811	1483	739	994	1555	1543	47	73
CYP1A1	5	233	39	5	7	2	4	3	0	1	1	4	1	1	1	2	3	13	20	2	27	2	4	0	66	2	0
CYP4V2	25	100	78	123	103	81	102	134	74	96	216	135	153	431	266	362	206	408	191	167	360	144	424	764	1094	209	419
DACH1	5	12	55	234	21	13	9	12	6	12	14	5	7	2	0	13	0	31	206	18	52	2	0	0	1	3	1
