WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
PLA2G4A	60	364	427	419	422	385	290	527	264	304	772	544	577	1399	1325	2231	829	402	513	558	1407	951	48	51	1439	592	178
PLCB4	390	2746	3287	3439	213	207	197	163	152	192	125	71	55	368	318	311	598	1272	1966	957	1433	1434	141	95	92	417	2265
PLCD1	198	706	679	1031	220	185	146	154	134	126	143	85	65	415	306	279	338	427	409	332	305	372	82	73	481	319	141
PLCXD2	20	73	87	136	10	21	13	16	20	14	11	3	2	13	4	8	9	13	51	77	93	30	7	12	10	11	6
PLCXD3	2	0	0	0	9	5	8	66	24	20	119	100	56	8	20	9	6	7	36	19	5	126	0	0	11	3	3
PLD3	2317	2658	1992	3770	5377	5458	3346	6542	5585	5849	6348	3148	3283	5681	4281	4584	8677	5793	7453	4557	3586	9508	3209	4192	4812	2841	1499
PLEKHA8	1738	3138	2891	4903	1995	1819	1595	1522	873	1122	1140	748	749	934	840	1264	1348	1434	2310	2590	2979	2428	588	692	1332	555	696
PLEKHG1	66	813	621	675	1470	1545	1071	2162	1475	1424	3264	1929	2088	1198	744	1121	1160	2359	1094	966	1218	1406	756	1578	1042	110	444
PLIN2	332	1007	921	2102	628	532	538	518	353	433	471	263	336	2622	2621	5123	3087	1870	1518	1046	1135	1108	187	345	1371	1070	684
PLP1	1156	2730	4192	3361	7923	4449	2671	5576	3349	3510	9614	6136	8200	3886	3382	4656	2120	1602	7963	8872	39778	5259	30378	45592	25183	346	863
PLPBP	327	686	653	1501	315	353	285	320	249	284	295	244	208	538	450	495	454	480	384	612	753	334	428	630	710	430	382
PLPP1	476	205	202	183	378	501	301	427	379	345	824	592	649	2618	1853	2154	1565	1981	462	480	450	582	387	591	637	708	652
PLPP4	2	0	0	0	559	683	380	369	275	220	257	174	124	387	477	582	326	532	1	15	0	4	11	55	847	142	559
PLS3	3234	8876	7652	9416	19107	16448	14160	13000	8614	9929	13544	8544	8272	10404	9711	12006	9914	11243	18458	29553	54037	19406	11138	19923	8853	15979	6704
PLSCR4	32	3	16	11	23	10	8	55	82	89	251	186	138	772	710	707	403	237	68	50	20	96	2013	1805	1524	983	272
PLXNA2	44	1500	806	1045	241	245	308	333	231	426	186	109	94	718	469	493	499	1239	2487	578	470	1122	0	1	107	1039	282
PMEPA1	231	52	62	57	4993	3781	2376	6114	4027	3599	10833	6040	7105	15474	11657	16194	11965	10245	1635	1749	966	3603	16127	17517	12594	1843	3054
POLR3B	339	555	658	1523	248	266	218	282	178	294	302	179	174	534	477	492	551	691	807	508	644	715	156	278	671	654	506
POP1	290	719	982	1161	394	475	351	336	231	279	308	149	158	359	297	502	648	562	652	449	727	607	279	449	538	418	542
POU3F3	2	183	74	1765	38	37	12	35	29	23	20	7	12	236	148	223	164	1691	2643	13	1	165	0	0	70	158	190
POU4F1	3	11	52	142	7	3	0	3	0	0	3	1	2	0	2	0	0	2	7	304	90	1	0	0	1	0	0
PPA2	408	719	687	1887	335	360	244	315	313	258	367	229	201	748	689	719	756	745	837	534	701	732	490	608	1140	612	530
PPFIBP2	159	551	530	1470	124	183	182	219	199	377	217	105	150	343	293	401	162	918	1470	348	583	576	204	157	339	366	109
PPP1R10	985	1910	1456	3416	1129	1042	761	1106	732	891	1238	659	709	1412	1065	1516	1759	2158	2834	1793	1955	1948	751	882	1671	1119	707
PPP1R12B	505	677	745	756	606	507	499	714	484	618	890	551	660	746	649	690	725	708	1033	1671	1701	796	699	660	964	451	571
PPP1R14C	2	246	317	1048	13	18	39	7	8	17	2	0	1	27	36	188	40	17	40	10	2	4	18	19	120	18	85
PPP4R1	1682	2481	2136	4114	3284	3096	2373	2518	1759	2070	2402	1399	1448	3013	2632	3323	3850	3886	3759	3164	3583	3846	1620	2146	2476	2144	2364
PRC1	1306	2602	2638	7512	1389	1146	842	919	527	599	1083	672	569	705	846	835	1634	1278	1825	2158	3130	2287	866	427	1129	354	1528
PRDM4	336	808	690	1458	1049	847	731	797	529	541	713	381	440	1234	1091	1454	1379	1319	1348	1124	1097	1192	328	512	1172	756	637
PRELP	2	181	189	1150	2	11	8	14	10	23	5	4	6	35	80	70	36	5	18	24	64	16	2	0	184	46	8
PREX1	562	4717	3652	4162	2310	1319	738	679	276	455	1168	607	813	368	348	564	1701	1774	4938	3369	8416	4384	2145	1288	2025	86	117
PRKCE	37	612	701	633	197	126	74	118	103	121	125	89	45	339	337	338	381	526	814	367	743	711	163	282	1061	233	341
PRND	1	0	0	0	8	28	26	83	104	87	15	5	1	3	1	0	1	0	0	1	14	2	0	0	14	0	0
PRPSAP1	375	644	622	1283	434	385	334	443	306	343	499	310	298	846	680	734	692	1528	1530	782	695	826	479	493	934	476	673
PRR3	98	357	436	814	215	172	96	174	118	122	191	93	116	237	178	208	310	358	460	488	461	421	94	191	224	57	111
PRRT4	13	277	146	201	7	8	3	7	2	7	1	2	3	3	2	4	13	53	55	143	136	39	1	1	3	3	0
PRSS12	362	190	150	125	3787	1416	1735	3859	1948	2236	8028	4803	6301	305	352	441	1200	361	640	470	484	1847	82	295	313	1423	872
PRTG	184	15485	12005	23500	439	446	657	388	233	303	112	79	104	621	510	624	1202	900	1478	2607	1194	2071	21	38	511	64	38
PRXL2A	792	1663	1360	3429	898	871	718	875	631	872	759	444	440	546	409	673	987	1006	2257	1341	2129	1549	692	1579	2131	8	17
PTGR1	255	658	625	1507	338	385	312	369	307	356	447	278	309	884	824	975	1009	602	806	850	794	618	569	771	1220	617	534
PTK7	3054	2890	2584	4686	4292	4907	2692	5338	4887	4666	4620	2426	2091	5418	4805	4624	6544	5433	3834	4463	2730	4989	54	48	4074	1471	7678
PTPN1	702	1330	1111	2216	1534	1366	1099	1178	843	926	1144	638	647	1480	1325	1970	1910	1488	1502	1842	1896	1482	648	1078	2007	1739	1092
PTPN3	120	205	195	426	262	238	126	330	187	189	506	318	275	560	396	689	492	572	164	243	89	291	836	1095	643	236	103
PUDP	230	480	373	684	228	199	143	179	138	129	155	79	103	128	148	145	159	275	279	616	740	271	92	178	371	102	249
PXYLP1	373	588	533	1037	601	557	475	372	267	343	347	178	222	646	471	825	2010	1298	1048	966	998	2375	220	367	264	159	243
PYGO1	34	948	1031	1239	439	432	425	497	304	388	306	223	168	769	670	921	880	1199	1228	1118	1071	1128	126	108	547	409	469
QDPR	124	330	303	506	212	160	120	172	127	111	157	79	89	197	161	167	152	249	235	199	320	175	184	438	615	205	195
RAB8B	1458	1740	1511	2494	2084	1879	1518	1585	1110	1175	1463	952	886	1813	1459	2222	1643	2240	2220	1655	1916	1667	732	1255	1962	1100	1194
RACGAP1	912	1315	1440	4209	865	715	578	536	354	372	631	431	365	545	605	625	1181	1011	1230	1171	1539	1413	467	247	931	509	1090
RADIL	68	213	180	405	47	31	25	14	32	14	30	19	11	43	23	15	16	38	62	39	50	21	47	93	70	17	65
RADX	92	302	386	743	157	158	75	160	91	91	222	108	172	141	98	160	130	193	166	393	590	204	11	60	185	8	132
RAE1	440	731	668	1587	560	517	393	415	340	351	414	283	288	605	578	748	797	846	1027	961	1126	873	342	496	684	451	583
RALGDS	276	1654	1380	2663	1185	936	612	901	610	553	1073	482	589	757	615	561	1034	788	1097	823	1184	1009	306	584	1607	401	439
RAPGEF4	45	125	103	355	21	12	4	13	13	20	8	7	8	59	72	59	28	245	117	99	99	26	0	2	22	8	13
RAPGEF6	906	1533	1459	2512	1070	861	809	976	741	712	1100	610	757	1163	871	1401	1458	1496	1812	2030	2798	1742	839	972	1579	658	874
RASA4	155	391	351	440	144	111	91	122	132	157	190	74	98	662	674	534	1004	763	652	1027	633	930	113	252	81	2719	578
RASGEF1C	2	26	25	54	86	36	32	62	39	62	251	111	166	204	127	152	85	259	185	271	503	112	203	174	27	26	69
RASSF4	192	433	316	384	7543	5547	2587	2694	1514	2298	2900	1268	1398	1235	585	806	602	2109	298	2859	1658	411	1177	1506	559	262	557
RBFOX2	2563	7483	5425	12272	4265	3850	3606	3868	2807	3204	3733	1916	1900	6024	5298	6345	8599	9702	10233	10229	8152	12229	1075	1262	3391	4742	4195
RBL1	338	796	776	1263	563	372	191	368	168	247	346	220	212	355	336	363	365	451	668	758	1078	640	301	217	538	191	542
RCAN1	65	700	516	669	11117	11631	7072	5729	5358	6423	7584	4772	4840	4534	4606	7982	4163	2134	745	1384	1310	1143	4825	11336	6664	8455	5685
RCBTB2	246	800	561	1280	329	275	320	347	221	304	376	211	272	736	526	508	883	1564	2001	726	1155	1821	344	251	587	196	201
RCN2	2555	2464	2577	4403	3111	3314	2682	2570	1877	2129	2045	1416	1399	2054	1665	2275	2197	2354	2752	3246	3447	3061	1936	2675	3167	2151	1450
RCSD1	20	273	148	411	1	7	8	2	4	0	0	2	2	4	7	19	1	33	32	99	77	17	0	0	1	0	1
RFX2	33	188	190	331	37	44	36	67	28	49	67	37	45	132	95	118	162	152	107	237	161	144	13	15	142	127	140
RFX3	509	990	984	1387	521	401	399	528	245	339	483	265	316	367	351	409	434	558	1028	1180	1351	929	266	352	372	82	177
RFX4	3	192	230	37	8	9	0	6	8	12	9	11	6	2	3	6	3	10	91	21	29	8	12	1	3	5	2
RGMB	518	889	545	1698	1357	1024	716	1112	903	1058	2938	1376	1448	2842	2046	2593	2264	3383	1557	2842	1859	1355	290	564	1429	4599	7127
RGS10	56	276	274	797	53	60	44	69	55	37	81	67	43	194	195	234	232	152	132	169	163	184	340	646	654	312	498
RGS20	27	172	83	187	29	24	30	22	19	17	22	10	17	41	34	48	44	128	118	49	26	57	9	20	116	32	116
RGS4	6	22	20	61	108	77	110	209	208	161	880	363	209	529	506	898	4310	716	468	491	288	3429	10	3	114	27592	3176
RIMBP2	2	157	73	352	9	15	6	9	19	10	8	5	2	32	22	22	57	149	87	23	16	63	0	0	10	0	0
RIMS3	773	1709	1975	3685	123	137	97	122	167	105	74	56	72	84	45	54	112	218	232	403	307	220	12	6	61	19	13
RNASE1	6	178	166	153	51	29	23	16	9	22	60	25	25	15	12	6	9	11	28	59	500	11	39	14	8	3	4
RNF128	33	1	2	0	70	133	41	176	160	126	484	343	329	808	542	1026	402	1265	15	176	16	42	20	17	319	114	459
RNF157	294	1609	1096	1915	218	172	161	125	56	72	151	89	48	213	148	196	528	785	1267	1178	1902	1033	105	115	236	6	59
RNF165	160	1300	1395	1551	425	245	141	241	118	152	254	102	124	34	40	45	122	162	928	791	1475	670	119	538	195	2	4
RNFT2	176	365	350	754	120	108	47	92	60	65	114	57	76	60	23	47	66	72	173	183	304	163	161	255	219	3	12
RNPEP	517	909	831	1579	540	484	320	553	370	454	595	298	335	752	689	732	721	579	705	603	784	611	654	1123	1238	1002	701
RNVU1-14	0	13	2	313	0	1	0	2	1	0	2	0	0	67	15	29	31	19	7	35	24	22	1	1	63	15	44
ROBO1	2738	4525	5714	8543	2719	2300	2339	2842	1935	2239	2526	1415	1299	5466	5288	7128	10885	10956	10076	7230	3147	11408	458	1108	3657	2178	2468
RPRD1B	338	692	669	1141	465	394	343	391	288	290	423	227	277	571	570	703	639	913	993	1030	886	822	297	404	545	493	408
RPRD2	504	875	680	1486	472	492	385	471	310	380	559	316	308	746	584	754	951	882	1182	788	883	1132	320	417	742	534	511
RPS4Y1	1846	3811	4199	8556	1692	1598	1153	1588	1513	1281	1747	1124	1020	4016	3266	3694	4442	3257	6737	1	0	4525	1440	0	2	2953	0
RRM1	2161	4056	3469	7618	1822	1298	1015	1045	614	748	1074	656	579	1302	1249	1600	2196	2116	2840	2470	3787	2745	815	766	1624	1229	2253
RRN3	904	1109	1036	1630	1224	1174	999	1052	681	792	938	601	610	1333	1097	1584	1326	1403	1801	1410	1706	1225	795	1196	2203	1083	956
RSRC1	365	579	539	1099	355	349	298	335	239	239	360	169	217	903	767	986	726	677	640	708	834	673	195	335	903	574	692
RTKN	456	665	483	1128	894	807	518	845	562	543	1239	612	801	920	676	791	714	1192	1282	1117	1482	1268	1213	1505	817	104	261
RTN4RL1	2	37	41	145	9	3	0	3	1	5	5	1	0	33	15	17	53	133	44	7	16	30	0	0	7	8	10
RUBCN	370	594	533	982	629	521	483	598	417	477	863	427	512	718	601	806	949	846	776	786	751	812	583	724	1302	818	508
RUBCNL	70	396	611	815	126	167	92	77	60	85	141	109	91	67	33	66	102	113	224	394	650	213	90	31	198	4	23
RUNX1T1	461	312	230	579	209	202	221	494	443	514	950	586	689	524	407	436	613	818	487	735	309	944	47	13	102	326	713
RUSC1-AS1	108	302	300	546	84	105	94	160	134	179	142	104	96	137	140	220	223	196	151	211	162	155	103	84	262	86	122
RXRG	0	256	241	123	33	17	13	6	1	3	11	15	29	55	68	53	67	60	808	1532	4369	1316	129	57	200	0	0
S100A16	84	121	78	151	606	578	282	409	339	351	868	505	508	2854	2212	2655	1683	3545	101	611	249	194	2045	2761	2866	5107	3759
S100B	0	217	218	140	935	493	202	647	501	514	2302	1556	1584	6722	4644	6822	3280	1334	2379	1765	5422	2318	52981	55152	18429	1533	542
SACS	6432	16294	15723	44734	11126	9919	9814	9197	5706	7262	10672	6635	6539	6932	7074	11178	6849	11938	10288	15898	17516	6919	4327	7467	8717	8886	16737
SAMD9L	0	1	0	3	3	3	6	46	55	73	202	150	87	789	767	627	400	536	27	89	5	9	464	396	1378	1536	571
SBF1P1	6	0	0	0	134	31	29	143	51	45	304	175	288	26	14	51	28	5	13	4	1	19	106	98	43	7	1
SCAF8	1665	2712	2403	4346	1891	1590	1250	1608	1042	1273	1828	1107	1097	2588	2175	2652	3004	3469	3917	3399	3911	3736	1097	1477	2227	1503	1660
SCARB2	1246	2435	2341	4343	8152	7716	5728	8191	5531	6467	11486	7282	8129	11093	9648	13242	8841	10556	9894	7765	11270	9705	9641	10180	17740	5788	4921
SCD	14351	25002	23679	41965	6138	7519	5517	12137	7524	9984	13289	7153	5660	8866	8619	14311	11288	8735	2615	5820	7355	3005	33469	42667	60859	3190	4954
SCD5	29	853	862	1284	159	181	121	196	176	245	283	146	108	602	503	480	635	1253	1267	598	434	792	305	62	1195	307	582
SCMH1	212	806	628	1084	354	283	235	366	233	270	344	206	169	710	549	588	848	859	731	737	751	828	130	150	180	384	497
SCML1	57	701	729	976	235	223	190	201	156	191	230	176	132	364	278	451	318	295	305	364	486	161	264	233	302	277	403
SCN1A	54	669	766	1426	4	6	0	3	3	5	2	0	0	79	34	60	192	189	384	65	110	183	0	0	1	1	0
SCN3A	1	24	21	160	1	1	0	0	4	8	3	0	0	8	9	10	54	72	227	179	157	113	152	177	0	42	1
SCN7A	5	26	9	38	11	9	9	9	9	9	46	32	52	20	16	14	76	177	260	716	586	310	27	2	4	4	5
SCN9A	211	81	89	62	275	242	230	391	183	318	864	598	875	1719	975	1333	1210	1258	682	695	258	567	578	384	136	7250	428
SDC1	921	2077	1571	2517	633	438	384	261	137	211	224	90	108	2754	2296	2324	4242	3574	2018	784	827	1641	161	107	501	802	967
SDK2	203	1947	1509	1881	845	523	348	539	320	432	616	288	440	145	107	104	281	452	1656	2421	3151	705	1194	683	308	7	66
SEC14L2	87	188	170	218	225	260	96	221	180	192	410	283	277	706	690	762	621	930	405	344	422	390	516	637	534	204	671
SELENBP1	133	566	528	979	85	79	89	107	57	65	58	27	14	439	333	336	352	314	354	270	243	334	87	83	161	22	20
SEMA3D	109	450	348	277	738	476	601	298	143	165	95	33	61	293	168	278	281	674	823	1195	1277	1522	172	79	11	173	128
SEPT5-GP1BB	16	79	65	153	278	425	285	760	700	1015	513	292	245	213	230	256	272	480	416	337	248	526	0	4	83	100	181
SEPTIN9	4383	10214	6664	18177	6672	5253	2835	5475	3770	3903	6584	2985	3383	7661	5870	7553	9729	10953	9815	15856	12865	9461	4034	4339	13851	5454	5394
SERPINA3	3	0	1	2	813	445	117	206	130	120	216	99	87	810	815	833	1167	462	42	455	88	29	4752	2718	667	41	32
SERPINE2	1130	552	546	749	4784	5670	3390	2903	2390	2856	2657	1769	1446	41193	39373	49796	30412	19940	8426	12482	5820	12882	10861	13669	31052	64758	7891
SESN3	1530	6805	7349	11124	6382	4237	3331	5300	3484	3644	7911	4966	6130	6572	5213	7056	7656	13960	15231	5874	10439	10310	12915	12697	6874	2615	1106
SESTD1	800	2084	1911	2453	1221	1061	946	920	550	703	767	466	515	1542	1349	1831	2182	2181	2909	2530	2974	3007	571	790	1673	667	835
SF1	1411	2778	2186	4017	1456	1157	859	1116	862	825	1418	731	819	2232	1929	2554	3107	2784	3376	3403	3858	2673	992	1250	2263	1205	1619
SFSWAP	601	1192	1045	2251	678	601	410	598	446	477	807	469	491	1087	943	1033	1368	1509	1969	1494	2149	1598	577	615	1016	594	710
SGSM2	616	2204	2057	3052	1162	1061	639	1310	896	1040	1564	717	793	1683	1105	1304	1926	1915	2266	1729	2097	1799	722	897	1507	747	856
SH3BP1	335	655	576	989	232	207	125	259	209	183	281	137	141	390	280	421	623	517	577	543	573	690	97	60	111	30	135
SH3PXD2A	413	3532	2396	3183	5203	4130	2716	6703	3520	4298	12439	6789	7597	23584	17631	21731	14847	14284	5205	5712	8125	7461	4813	4668	5591	6491	10192
SHANK3	114	378	302	714	213	151	108	140	120	122	145	71	56	318	287	342	555	609	479	291	374	562	18	51	238	53	117
SHC3	339	1265	955	1339	157	109	124	131	95	88	169	79	81	165	198	488	803	416	340	705	1503	964	47	146	59	278	97
SHF	236	540	557	1015	195	155	105	178	91	150	165	60	82	169	142	185	259	321	640	230	269	377	58	67	148	16	34
SHISA4	73	145	124	165	232	266	168	323	239	284	543	301	371	382	286	361	259	370	429	380	648	328	881	1590	461	332	225
SHKBP1	462	991	772	1327	510	469	331	552	370	397	679	289	314	715	551	619	776	702	777	647	755	735	373	539	628	389	378
SHROOM4	308	531	483	387	645	592	503	707	406	466	1182	702	737	1378	1032	1263	1555	1248	920	1274	1022	1363	272	437	570	239	348
SIM1	20	69	96	450	20	41	36	24	38	22	26	33	13	68	73	56	50	11	2	151	87	2	0	0	222	334	137
SIMC1	205	447	359	665	227	248	209	192	169	159	184	104	118	255	196	283	357	331	445	439	488	363	121	136	247	141	181
SIPA1L2	389	1006	793	1386	1654	1204	1159	1067	604	748	2007	1238	1422	1527	1017	1437	2654	2934	3282	2828	3440	3086	2183	2225	3028	165	455
SIRPA	77	282	128	631	118	130	66	113	105	78	82	35	22	718	754	1111	744	469	186	334	124	259	11	4	3236	1292	1516
SKA2	753	1507	1277	3157	778	662	565	617	448	494	614	443	395	857	718	947	920	1152	1484	2245	3026	1549	953	730	643	573	646
SKP2	1333	2151	2094	3502	752	683	622	638	479	579	486	317	299	344	328	472	675	872	1314	1530	2175	1347	313	472	459	750	707
SLC12A6	318	376	320	749	322	331	266	379	282	263	589	340	384	1359	1237	1565	1140	640	753	587	800	657	281	425	632	1796	689
SLC25A40	274	477	521	793	304	266	251	221	138	121	225	126	134	309	279	313	279	352	411	402	552	424	340	276	409	165	309
SLC26A2	725	972	1066	2181	2301	2065	1564	1698	1019	1104	1251	851	885	1847	2315	2698	2043	2261	1850	2244	2405	1843	4577	5079	5004	1131	1132
SLC47A1	28	172	115	192	12	7	1	6	5	9	5	9	5	10	12	17	13	43	49	60	174	38	131	172	253	37	34
SLC5A9	7	39	38	26	58	29	66	42	40	31	103	95	97	55	25	48	47	53	75	30	22	41	71	33	46	5	7
SLC8A3	22	357	113	778	18	9	7	13	5	13	12	2	12	6	5	15	6	5	6	568	367	8	3	10	8	1	3
SLC9A7	849	452	370	503	5431	3918	2208	2932	1469	1468	2382	1457	1438	1631	1484	1709	1171	711	175	1431	2323	365	912	771	1069	4758	3375
SLFN11	8	3	4	9	5	5	0	16	10	2	96	44	23	879	1022	751	616	708	10	234	177	213	1082	2205	1408	1339	1540
SLIT3	43	264	233	352	1590	1704	1470	2459	2170	2789	1324	740	380	1055	890	845	909	1237	1642	274	60	880	1756	181	2069	6835	1794
SLITRK5	77	529	440	793	25	12	15	21	19	23	30	17	29	251	173	185	174	136	187	358	262	360	2383	1363	744	12	7
SMAD3	244	1079	756	1368	2276	1135	920	931	713	784	1078	544	474	1140	903	1230	1872	2311	2578	1875	1539	2090	977	422	1687	1523	1149
SMC1A	2509	3959	3653	7542	1991	1386	1304	1576	889	1084	1703	979	917	2279	2029	2505	3004	3212	3785	6973	9215	3666	1036	1324	3731	1459	2741
SMCHD1	2091	4093	4022	7088	3126	2371	2267	2471	1390	1759	2340	1489	1402	3199	2784	3539	3573	4146	5485	5212	6580	4579	1888	2397	4064	1817	2731
SMOC1	12	2347	641	10258	3	4	0	2	3	2	2	0	0	196	162	163	63	133	101	332	278	14	19	1	65	0	0
SMURF2	646	949	790	1530	2309	2241	1684	1615	1123	1517	1802	1065	904	4006	2538	2916	2851	3733	1717	1973	1976	1418	631	771	1147	15797	5586
SMYD3	167	385	339	691	176	231	148	215	137	158	216	141	162	394	414	404	454	367	413	372	418	321	163	244	556	2686	574
SNAI1	49	637	186	381	130	140	97	126	86	87	118	80	70	815	994	858	769	322	514	315	295	210	43	72	237	89	356
SNCA	118	329	393	685	171	211	130	179	165	148	180	129	130	280	216	278	272	301	613	287	362	221	2097	1806	3339	17	6
SNX1	753	2693	2266	3180	1073	996	849	1179	806	906	1093	675	795	2249	2023	2505	2523	2610	4979	3194	3569	4432	1348	1741	3379	1593	1107
SNX22	139	1045	618	491	126	117	94	86	84	78	105	74	85	337	204	266	324	228	2177	1010	870	2007	99	141	829	85	128
SOBP	73	429	308	1024	69	79	145	103	70	108	136	83	85	600	494	562	807	1164	1477	718	400	670	12	106	217	208	144
SOCS2	223	2714	1836	2168	1057	662	646	691	384	424	827	529	546	1201	870	1431	1388	1167	1170	2320	3048	2726	1373	848	1768	154	285
SOCS5	575	516	542	801	515	491	387	687	451	478	1175	711	576	3224	2339	2707	2532	1558	1385	1044	940	1607	508	657	1605	2143	1937
SOCS6	778	1015	935	1504	1967	1905	1242	1339	806	776	1086	661	602	1819	1525	2174	1582	2038	1401	1732	1678	1389	412	620	2297	782	964
SOGA3	891	1704	2214	2851	700	542	560	544	332	396	368	261	252	249	318	350	569	472	446	312	289	426	100	199	1185	134	506
SOX11	1593	6246	5530	8099	7922	5539	5087	5152	2563	3255	4509	2217	2487	1586	1608	2126	4644	5584	8883	10777	9996	7488	37	46	460	5	586
SOX9	52	382	256	1776	77	89	96	111	76	109	131	81	52	780	525	1014	2742	1851	1714	741	289	2066	11	4	182	240	131
SPA17	53	99	139	414	34	32	24	41	29	39	44	28	50	86	90	85	104	71	78	97	103	78	24	35	131	68	95
SPAG6	0	33	42	216	0	4	2	3	3	1	1	2	0	1	0	2	8	2	0	56	48	2	0	3	1	0	0
SPATA6	213	340	308	397	524	330	240	479	262	389	842	577	633	824	591	707	626	713	879	568	605	951	1425	942	639	70	169
SPON1	359	1543	807	3130	334	222	185	178	75	110	164	78	60	1404	2883	1717	877	271	393	439	459	1186	207	45	13647	276	170
SPP1	196	587	1073	975	1205	938	687	194	97	132	335	149	175	6245	3571	8238	4982	5098	632	119	530	275	1015	1062	2071	369	190
SPPL2A	596	763	667	949	1233	1128	1039	1413	1006	1043	2224	1582	1499	3515	2767	4089	2308	2775	1896	1588	1620	1784	2316	3187	2027	2589	2031
SPSB4	242	1920	1032	1919	267	210	204	90	92	123	57	28	30	36	31	31	74	106	179	228	199	148	206	465	91	0	4
SQLE	2570	4525	4177	7886	1894	2276	1778	2212	1671	2169	2279	1275	1004	2063	2173	3122	2808	1932	726	1963	2235	1646	2181	2331	2629	1612	1201
SQOR	7	3	5	5	7	4	10	20	23	22	84	68	74	338	355	534	231	147	27	28	49	45	156	37	316	475	212
SRCIN1	35	123	96	142	213	102	69	173	39	108	499	172	322	94	44	77	109	39	287	69	113	309	217	103	121	12	6
SREBF2-AS1	63	194	144	298	54	39	55	46	32	32	56	38	30	56	52	93	103	85	102	125	109	98	31	47	76	13	36
SREK1	778	2583	1958	4017	1752	1305	1249	1523	873	1112	1654	963	1125	2993	2530	2874	3015	3239	3646	3683	4258	3679	1007	1223	2604	1561	1971
SRGAP2B	511	1567	1403	1647	2224	1698	1056	1871	1111	1299	2599	1693	1699	2254	1663	2281	2000	1821	1310	1701	1379	1653	3685	4143	2322	1033	951
SRGAP3	160	905	1122	1711	147	116	65	74	39	39	82	29	47	145	107	81	170	351	528	272	460	374	54	44	180	10	12
SRRM4	59	324	372	425	12	5	0	4	0	0	3	2	1	3	0	3	3	0	8	3	6	0	0	0	1	0	0
SRSF5	1617	2940	2363	6843	1702	1554	1232	1422	1095	1187	1766	1062	1242	3877	3183	3556	3503	4751	5191	4763	5192	3719	1551	2145	3825	1800	2027
SRSF6	2499	6228	4319	8960	4310	3185	2549	3001	2342	2620	3782	2162	2426	6643	5179	4348	5555	7244	7831	7179	8974	7709	2663	3535	4805	2727	4565
SSBP2	223	1261	1064	2517	746	676	703	681	407	589	677	451	464	826	666	620	1006	1585	2223	2719	2074	2386	223	243	311	329	457
SSC5D	6	6	1	6	74	58	55	125	124	118	112	54	33	385	340	275	237	205	43	55	14	120	144	367	645	69	188
SSUH2	6	95	349	412	40	52	41	51	16	31	16	9	19	35	30	51	60	37	35	147	97	59	24	38	128	2	1
ST3GAL6	104	238	204	233	151	135	131	159	76	97	257	189	209	249	171	317	212	151	173	133	182	287	133	147	1949	45	32
ST6GALNAC2	36	89	81	34	34	19	17	53	18	31	249	142	106	576	498	631	296	273	55	79	57	43	4283	3957	5374	72	105
ST6GALNAC5	122	650	412	408	45	27	20	16	3	5	12	8	6	63	36	90	121	84	259	223	259	150	309	353	248	82	86
STARD5	63	376	188	354	36	44	36	43	48	62	56	46	30	53	38	24	41	38	87	118	128	97	156	153	140	123	64
STARD8	128	343	215	555	118	99	87	137	58	74	78	31	37	224	190	201	747	295	574	564	428	861	121	112	141	2	61
STARD9	659	1777	1781	2462	1227	873	928	1036	658	810	1076	699	634	933	878	1155	1529	1959	2380	1851	2137	2099	1323	2083	1803	86	520
STAU2	989	1521	1499	2985	1027	1040	881	810	603	653	813	531	565	715	626	781	815	754	1137	904	1417	860	1020	1133	1239	686	479
STMN1	5166	10783	10428	27676	6896	6050	5325	4583	2943	3695	3982	2624	2820	2660	2311	2560	5730	6198	11838	10777	13402	11228	2024	3044	2997	593	3229
STON1	388	725	769	1183	619	682	536	1031	662	693	614	377	437	865	761	825	604	584	504	457	656	804	584	227	327	241	308
STRA6	78	1438	1432	3391	427	689	451	1111	788	520	946	562	574	322	269	297	826	931	1773	1258	2006	1435	11	3	18	11	33
SVIP	216	705	581	1087	303	288	254	237	133	158	295	209	214	361	281	311	293	484	537	680	761	629	476	1007	610	131	112
SYNM	112	501	389	524	1901	1353	1534	1257	548	816	724	394	517	860	714	1093	713	802	683	1036	777	662	2405	1122	3613	435	589
SYT11	411	1149	1034	1577	4878	3549	2834	3963	2293	2546	5984	3456	4530	4637	3189	4456	3277	3578	3588	1634	2582	3351	3033	4888	5103	1731	1273
TAPBP	528	285	219	325	781	679	523	937	723	833	1631	854	880	3051	2374	3290	2389	2069	1079	830	744	955	1225	1131	2430	1820	1400
TARBP1	640	925	1088	1940	429	405	418	461	326	342	498	320	298	876	740	713	874	912	1105	1058	1231	1416	570	1014	1743	511	517
TBL1X	442	762	691	1182	332	295	185	332	250	301	374	200	267	741	667	659	816	817	929	1292	1343	823	162	422	791	332	445
TDG	1228	1349	1094	2399	1528	1491	1259	1133	842	949	1058	696	687	1307	1160	1604	1666	1514	1900	1837	2228	1843	567	893	859	876	1103
